年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2020,系统安全与隐私,密码学,SafetyPin: Encrypted Backups with Human-Memorable Secrets,"Emma Dauterman, UC Berkeley; et al.",https://www.usenix.org/conference/osdi20/presentation/dauterman-safetypin,https://github.com/edauterman/SafetyPin
2020,系统安全与隐私,"CPU漏洞,内存管理",Efficiently Mitigating Transient Execution Attacks using the Unmapped Speculation Contract,"Jonathan Behrens, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/behrens,https://github.com/mit-pdos/ward
2020,系统安全与隐私,"异常检测,FPGA,软硬件协同",Achieving 100Gbps Intrusion Prevention on a Single Server,"Zhipeng Zhao, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi20/presentation/zhao-zhipeng,https://github.com/cmu-snap/pigasus
2020,系统安全与隐私,"ORAM,信息检索",DORY: An Encrypted Search System with Distributed Trust,"Emma Dauterman, UC Berkeley; et al.",https://www.usenix.org/conference/osdi20/presentation/dauterman-dory,https://github.com/ucbrise/dory
2020,系统安全与隐私,"差分隐私,信息检索,数据分析",Orchard: Differentially Private Analytics at Scale,"Edo Roth, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/roth,https://github.com/edoroth/orchard
2020,形式化验证,"符号执行,eBPF",Specification and verification in the field: Applying formal methods to BPF just-in-time compilers in the Linux kernel,"Luke Nelson, University of Washington; et al.",https://www.usenix.org/conference/osdi20/presentation/nelson,https://github.com/uw-unsat/jitterbug/tree/osdi20-artifact
2020,"形式化验证,文件和存储系统","崩溃一致性,索引结构,键值存储",Storage Systems are Distributed Systems (So Verify Them That Way!),"Travis Hance, Carnegie Mellon University; ert al.",https://www.usenix.org/conference/osdi20/presentation/hance,https://github.com/secure-foundations/veribetrkv-osdi2020
2020,形式化验证,"崩溃一致性,符号执行,Flash",Determinizing Crash Behavior with a Verified Snapshot-Consistent Flash Translation Layer,"Yun-Sheng Chang, Institute of Information Science, Academia Sinica, Taiwan; et al.",https://www.usenix.org/conference/osdi20/presentation/chang,https://github.com/yunshengtw/scftl
2020,形式化验证,"NFV,网络系统",Aragog: Scalable Runtime Verification of Shardable Networked Systems,"Nofel Yaseen, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/yaseen,https://github.com/NofelYaseen/MBVerifier
2018,操作系统,"RDMA,异构应用,分离式内存","LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregatio","Yizhou Shan, Purdue University; et al.",https://www.usenix.org/conference/atc19/presentation/shan,https://github.com/WukLab/LegoOS
2018,文件和存储系统,"NVRAM,索引结构",Write-Optimized and High-Performance Hashing Index Scheme for Persistent Memory,"Pengfei Zuo, Huazhong University of Science and Technology; et al.",https://www.usenix.org/conference/osdi18/presentation/zuo,https://github.com/Pfzuo/Level-Hashing
2018,移动与嵌入式系统,"程序分析,嵌入式系统,间歇计算",Adaptive Dynamic Checkpointing for Safe Efficient Intermittent Computing,"Kiwan Maeng, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi18/presentation/maeng,https://github.com/CMUAbstract/chinchilla_osdi2018
2016,网络系统,,"FaSST: Fast, Scalable and Simple Distributed Transactions with Two-Sided (RDMA) Datagram RPCs","Anuj Kalia, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi16/technical-sessions/presentation/kalia,https://github.com/efficient/fasst
2016,系统安全与隐私,"可信硬件,云计算",Ryoan: A Distributed Sandbox for Untrusted Computation on Secret Data,"Tyler Hunt, The University of Texas at Austin; et al.",https://www.usenix.org/conference/osdi16/technical-sessions/presentation/hunt,https://github.com/ut-osa/ryoan
2014,操作系统,"硬件虚拟化,内核旁路",Arrakis: The Operating System is the Control Plane,"Simon Peter, University of Washington; et al.",https://www.usenix.org/conference/osdi14/technical-sessions/presentation/peter,https://github.com/UWNetworksLab/arrakis
2012,操作系统,"硬件虚拟化,内核旁路,虚拟化",Dune: Safe User-level Access to Privileged CPU Features,"Adam Belay, Stanford University; et al.",https://www.usenix.org/conference/osdi12/technical-sessions/presentation/belay,https://github.com/project-dune/dune
